chr15	49786084	55675702
chr11	79854366	83359748
chr22	16439724	18784106
chr19	9677201	9678520
chr7	40687820	42164932
chr3	39702007	39702571
chr7	14127541	14128415
chr16	11157406	11180345
chr13	35433332	35434834
chr18	43101225	47523739
chr2	222589644	232859121
chr16	40882011	40910213
chr1	93249417	98234091
chr17	51148340	52343766
chr15	75438394	76741568
chr1	175476434	182111844
chr16	81068664	82041919
chr3	139824937	139825080
chr2	119784874	121633547
chr3	53030102	54619899
chr21	23671989	26865088
chr2	154887185	154951529
chr9	50539774	61463458
chr9	34735700	34808330
chr15	76953829	82173905
chr2	6885860	13234543
chr6	81665178	87795636
chr16	51536208	51578607
chr10	76207067	78411266
chr15	86662070	89286085
chr22	22868035	25684829
chr3	6688769	6688878
chr6	123710595	123791631
chr2	97920449	98663638
chr16	69004881	69228915
chr2	98301403	105253798
chr1	86394265	88432281
chr3	120821446	133334965
chr16	81519556	81834865
chr17	27288550	28248745
chr2	193852765	207621826
chr12	102255747	102255941
chr15	13049643	20647666
chr2	103367262	103414763
chr17	39249987	41941004
chr15	88488037	88490442
chr7	134739038	136517274
chr6	67701846	73052118
chr1	117526478	119346545
chr11	54225810	54296178
chr1	104364746	113199089
chr5	17008196	47070746
chr13	103305842	103317608
chr4	44090694	64235376
chr6	9201919	15940193
chr2	155972287	160577994
chr4	112868265	133333708
chr16	10531665	10537973
chr11	119520335	132099843
chr5	112340738	117734161
chr9	56643876	56705338
chr3	162508841	166198073
chr20	2597147	3187200
chr1	148493395	148575102
chr8	21778091	23395100
chr19	30188077	30257483
chr2	19431027	19440639
chr2	95265060	95388699
chr16	79151345	79676361
chr2	213283792	213288813
chr10	55254652	60483977
chr2	186589511	188986224
chr15	12230999	13829681
chr7	89460263	89460461
chr3	108689785	120656877
chr16	72863304	72863411
chr4	85068079	92826785
chr13	89737868	96252530
chr2	74739035	103781731
chr16	89102093	89872616
chr7	93550527	100035183
chr3	32506282	33582123
chr7	37149877	52449181
chr1	95448206	95449990
chr3	127651855	137194620
chr3	72783347	72842626
chr6	99525587	105051433
chr6	148449683	154531301
chr6	42665315	42689280
chr13	16404748	19879692
chr21	2306026	18368890
chr3	179189141	181238654
chr5	98119888	100196902
chr2	95021189	95113030
chr1	182836405	182884445
chr4	47230904	76166098
chr1	74146465	74275495
chr7	38654829	40081406
chr15	59461903	61884071
chr5	53341056	65141235
chr12	97439197	97597562
chr18	33045152	33061657
chr17	29593743	29612438
chr1	71851715	74538392
chr16	17352218	17496120
chr19	13574538	13711612
chr21	950971	2512446
chr4	4502804	9687290
chr16	26830533	27350872
chr16	11200635	11700592
chr7	25815512	25815702
chr9	129727002	133134297
chr17	68603120	69233866
chr6	37559046	37580933
chr2	92689968	92690168
chr16	80884151	80917102
chr17	12873487	14270413
chr13	46272081	48455209
chr16	39029889	41232622
chr11	108290089	108294002
chr16	87491954	88040065
chr16	10921132	10924460
chr8	416438	425991
chr9	33241563	33483970
chr5	8753106	36519681
chr15	13842410	18886680
chr2	17714014	19178539
chr19	15580361	15600115
chr19	34248953	34249011
chr7	29551403	43353458
chr7	93027620	93027730
chr2	139388978	139958222
chr4	184921223	186882171
chr16	82961418	82973781
chr9	129191686	129192592
chr9	63931238	74786370
chr9	132709474	138163104
chr17	23561816	23585217
chr7	47613361	53126344
chr7	133472014	133617071
chr6	81493969	90766579
chr15	83404565	87537819
chr10	28390468	35601781
chr17	76116926	76548613
chr15	26172527	26186801
chr16	9572700	10346468
chr22	3861958	11934643
chr10	80633731	86660657
chr22	36465507	36486815
chr20	54442191	54721578
chr2	154631671	154654571
chr15	15447367	15491930
chr22	19989704	21452328
chr8	21613457	34764479
chr6	159991341	160140908
chr6	169945361	169946135
chr3	31294017	32212287
chr2	221958053	223352509
chr22	40249753	40331322
chr16	9187896	9784527
chr15	29036300	33900019
chr4	161781003	166154355
chr17	10555035	10558152
chr19	52868735	52869262
chr17	79145334	80548934
chr1	150685763	150685909
chr2	142721251	153846258
chr1	166907387	166910503
chr4	65741762	74856411
chr2	6045621	6844790
chr7	101203261	101379537
chr17	42823666	42843476
chr19	5315235	5327920
chr2	186337883	186349053
chr6	139268915	145826881
chr10	43880995	43886256
chr3	141724929	149836200
chr1	245340902	245341196
chr7	406398	411572
chr2	212010991	213207505
chr4	81974921	88021214
chr5	131784392	146355288
chr19	3438123	3471681
chr21	37385778	37397440
chr11	60449941	60456920
chr5	112445054	123953409
chr1	41456591	45335657
chr2	108644708	108687644
chr4	59991315	67336328
chr22	8621066	8629518
chr19	40770366	40775122
chr7	121043228	122483704
chr17	40109195	42077105
chr13	22220165	22322079
chr6	49949475	50346187
chr16	9340014	9340100
chr2	174123544	174125167
chr2	48502114	48637187
chr3	28032000	28069488
chr7	17634820	31327090
chr15	69600230	71379644
chr3	128321767	128324781
chr17	7791513	7801387
chr20	5437525	5543232
chr17	31349260	32827261
chr18	6495742	20466392
chr17	55222325	55296691
chr9	121934500	123123165
chr17	70867239	70888621
chr16	62165064	62169408
chr4	87099152	89794220
chr11	49892456	49893184
chr16	35504898	36411223
chr16	8876916	8890799
chr1	32138555	33504494
chr17	31355161	32726262
chr4	44416	479952
chr17	26389883	27560177
chr16	54235747	54298549
chr15	4401699	10193258
chr15	91364585	91404665
chr17	46709899	48637070
chr15	79520806	82772536
chr22	34251479	34519682
chr12	56328446	57362040
chr22	9181921	9197603
chr16	12221585	12565008
chr13	12461043	16018320
chr13	18080755	26737627
chr15	1326440	1857405
chr7	73333459	73354539
chr8	108540164	112302146
chr8	113175411	113512291
chr1	83305928	84943291
chr21	22054324	23771698
chr16	33728618	34252006
chr21	29526001	43744845
chr7	68415746	69845085
chr4	106088588	106130050
chr16	61276281	61944485
chr4	27452446	31801858
chr22	23522579	25367852
chr20	2355688	2355858
chr7	500467	505602
chr1	55697049	57039435
chr7	2669385	2774151
chr9	11342412	17237809
chr9	38271940	38304507
chr11	20070808	20166952
chr2	37887456	37894302
chr16	49283622	49803528
chr9	54748992	65959864
chr8	19116686	27654315
chr16	73195617	73203403
chr22	37626039	38316356
chr7	23819638	41007714
chr13	32002251	32002413
chr1	74186916	74188935
chr22	28886651	30004151
chr7	90827040	92315379
