Label (1 = gold standard, 0 = negative)	Chromosome	Start	End	E003-H3K4me1.pval.signal.bigwig_mean	28736.Roadmap.SRS004212_Combined_Libraries_424.WGB-Seq.signal.bigWig_mean	data/gc19_pc.prom.nr.bed_overlap	data/gc19_pc.3utr.nr.bed_overlap	data/gc19_pc.5utr.nr.bed_overlap	data/gc19_pc.cds.nr.bed_overlap	data/gc19_pc.ss.nr.bed_overlap	data/sensitive.nc.bed_overlap	data/ultra.conserved.hg19.bed_overlap	data/wgEncodeBroadHmmGm12878HMM.Heterochrom.bed_overlap	data/H1-ESC_Dixon2015-raw_TADs.bed_overlap
0	5	15228798	15260402	0.36195973080104704	0.8222772103141552	0.0	0.0	0.0	0.0	0.0	0.014238703961523857	0.0	1.0	1.0
0	2	43301895	43306146	0.2374212178615255	0.8559116182102096	0.0	0.0	0.0	0.0	0.0	0.0039990590449306045	0.0	0.9529522465302281	1.0
0	13	53037516	53038864	0.2373156872099868	0.8318705173517694	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
0	13	21455655	21458145	2.6191618916021295	0.8371937434042084	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
0	1	85910957	85915409	2.0392537688884986	0.8454431780695599	1.0	0.0	1.0	1.0	1.0	0.028751123090745734	0.0	1.0	1.0
0	16	67565106	67568244	0.30201586186316	0.8116581138078909	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
0	2	231884087	231885265	0.11540575354582992	0.8350969215805083	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
0	1	105091218	105092753	0.20375594578756184	0.8407978363863127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	20	23039635	23055953	0.8279582668912661	0.8374809200380082	0.0	0.0	0.0	0.0	0.0	0.012256403971074886	0.0	0.47297462924377986	1.0
0	2	24547080	24548453	0.19609341926151005	0.8687155246734619	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
0	22	16940402	16944607	0.11731320062871495	0.7327583057504978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	10	91743010	91749571	0.44829471670732757	0.8156170870626152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	8	5742207	5758561	0.24324951819201707	0.8804364713583999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	17	4232177	4233901	0.8158390716306018	0.8907728684676193	1.0	0.0	0.0	1.0	1.0	0.031322505800464036	0.0	0.0	1.0
0	20	16143040	16151318	0.18038140860523225	0.8653775582718731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	4	112949390	112995250	0.35767187438076675	0.8352597231098758	0.0	0.0	0.0	0.0	0.0	0.0004797208896641954	0.0	0.9738334060183166	1.0
0	16	48005604	48007214	0.19460585322809515	0.8500389103263712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	1	182546284	182547847	0.19424035754328878	0.8197473460511757	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
0	9	36474157	36474999	0.12862177915658776	0.8387710551420847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0	3	14385028	14392225	1.104441528007589	0.8305053410855963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	11	56384293	56395496	0.4647894763663487	0.8432643478564401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9642952780505222	1.0
0	20	49385027	49387836	1.3428978631932695	0.854896827036648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	8	104014161	104014505	1.4821060075489587	0.8558302670717239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
0	X	80287951	80295028	0.174830966955847	0.7998261125654881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	8	135118174	135120085	0.48858244429390696	0.6986088872344565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	6	55413595	55417911	0.19471446678484336	0.7440070083785597	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
0	7	146253839	146254815	0.29032180630449267	0.9002063373724619	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
0	10	91840212	91840808	0.3120648600848629	0.9349655985832215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	5	26026711	26028832	0.15999436725540467	0.8716836046995842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
0	3	28511595	28537146	0.22455101077439785	0.8305552340706581	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.9843450354193574	1.0
0	19	53096015	53097618	0.15102787173619808	0.8830107425359149	0.0	0.19089207735495944	0.0	0.09794135995009358	0.038053649407361195	0.0	0.0	0.0	1.0
0	2	40764807	40772028	0.6422452923168916	0.856763472444216	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.9446060102478882	1.0
0	13	88469260	88472105	0.20934083860478836	0.8813224976798295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
