Label (1 = gold standard, 0 = negative)	Chromosome	Start	End	E003-H3K4me1.pval.signal.bigwig_mean	28736.Roadmap.SRS004212_Combined_Libraries_424.WGB-Seq.signal.bigWig_mean	E003-DNase.pval.signal.bigwig_mean	E003-H3K4me3.pval.signal.bigwig_mean	data/gc19_pc.prom.nr.bed_overlap	data/gc19_pc.3utr.nr.bed_overlap	data/gc19_pc.5utr.nr.bed_overlap	data/gc19_pc.cds.nr.bed_overlap	data/gc19_pc.ss.nr.bed_overlap	data/sensitive.nc.bed_overlap	data/ultra.conserved.hg19.bed_overlap	data/wgEncodeBroadHmmGm12878HMM.Heterochrom.bed_overlap	data/H1-ESC_Dixon2015-raw_TADs.bed_overlap
0	5	15228798	15260402	-0.10216951586762858	0.20898333731888136	-0.1937750909424008	-0.10336264754364759	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	0.24522521241409592	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	2	43301895	43306146	-0.3000496240294952	0.35874895590741235	-0.2733868260737293	-0.11756505679690361	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	0.0006241978746491681	-0.012380066748354868	0.5005791276939788	0.32729976212224104
0	13	53037516	53038864	-0.30021730241466277	0.2516999377489588	-0.12960216596589674	-0.11563744406892643	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	1.3749166294524164	1.224331163002234	-0.09490390955103498	-0.012380066748354868	-1.799645191320944	0.32729976212224104
0	13	21455655	21458145	3.484314674283433	0.27540293395135756	1.6407294868954287	-0.052780885006015466	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	1.3749166294524164	1.224331163002234	-0.09490390955103498	-0.012380066748354868	-1.799645191320944	0.32729976212224104
0	1	85910957	85915409	2.562894630491482	0.3121356063230624	-0.2059399779477231	-0.08378279226721201	2.1047367855088974	-0.2681615995874449	2.642534431856528	1.3749166294524164	1.224331163002234	0.591892745452964	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	16	67565106	67568244	-0.1974147455487484	0.16169915256299158	0.0006549447958533976	-0.11242894550670404	2.1047367855088974	-0.2681615995874449	2.642534431856528	1.3749166294524164	1.224331163002234	-0.09490390955103498	-0.012380066748354868	-1.799645191320944	0.32729976212224104
0	2	231884087	231885265	-0.4939208427097381	0.2660663100254399	-0.3818529631436822	-0.12562025737770438	-0.487644948201204	3.9274518991184033	-0.38780808686692375	-0.6747626558514785	1.224331163002234	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	-3.109281865583578
0	1	105091218	105092753	-0.353540608641859	0.2914510599235336	-0.3767782012614526	-0.09865796745009593	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	20	23039635	23055953	0.6382587946067712	0.2766816597828966	0.38294444803940625	-0.09354442133878951	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	0.19787273166550745	-0.012380066748354868	-0.6579848946744856	0.32729976212224104
0	2	24547080	24548453	-0.365715650257336	0.4157615537728153	-0.26216518293948826	-0.12877125869331785	2.1047367855088974	-0.2681615995874449	2.642534431856528	1.3749166294524164	1.224331163002234	-0.09490390955103498	-0.012380066748354868	-1.799645191320944	0.32729976212224104
0	22	16940402	16944607	-0.49089008679202756	-0.18962198847656966	-0.28738510128467576	-0.11226591298693589	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	10	91743010	91749571	0.035008742857721376	0.17932747176223596	-0.04215707617626313	-0.09382888211834929	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	8	5742207	5758561	-0.29078899715532036	0.46795200220104083	-0.11443113480205765	-0.10030700685772082	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	17	4232177	4233901	0.6190025210861485	0.5139773971425272	0.15389611550241408	-0.11092234384772222	2.1047367855088974	-0.2681615995874449	-0.38780808686692375	1.3749166294524164	1.224331163002234	0.6533170257565771	-0.012380066748354868	-1.799645191320944	0.32729976212224104
0	20	16143040	16151318	-0.3906805731130834	0.4008984230018906	-0.0691802848742466	-0.0990905718582949	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	4	112949390	112995250	-0.10898252071408647	0.26679122457806825	-0.1841678012528917	-0.10645987935431275	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.08344450668468589	-0.012380066748354868	0.5509818116045486	0.32729976212224104
0	16	48005604	48007214	-0.3680792542593607	0.33259925433600557	-0.06419184979752071	-0.10364352134461732	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	1	182546284	182547847	-0.3686599928914119	0.19771848355778412	-0.36076641147527616	-0.09045966587334102	-0.487644948201204	3.9274518991184033	-0.38780808686692375	1.3749166294524164	1.224331163002234	-0.09490390955103498	-0.012380066748354868	-1.799645191320944	0.32729976212224104
0	9	36474157	36474999	-0.4729218078280807	0.28242630920624684	-0.01577783821031533	-0.06059664487793375	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	-1.799645191320944	0.32729976212224104
0	3	14385028	14392225	1.0775649684424278	0.2456211487713836	0.27423680079027773	-0.11847986166671948	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	11	56384293	56395496	0.06121738104032251	0.30243381951962794	0.27789414071606544	-0.10518215292175402	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.5279587965591656	0.32729976212224104
0	20	49385027	49387836	1.456449895560027	0.35423034424294325	0.4123715538029376	-0.10014331220403343	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	8	104014161	104014505	1.6776386829634362	0.358386719604165	-0.03975550657656392	-0.10935035756854661	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	-3.109281865583578
0	X	80287951	80295028	-0.39949970839904786	0.10901420592486151	-0.2811205000650977	-0.12084514147711119	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	8	135118174	135120085	0.09902219302875069	-0.34168082073844347	0.15567149765188	-0.07806852304655884	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	-0.6747626558514785	-0.7769743637912412	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
0	6	55413595	55417911	-0.3679066774246942	-0.13953432489656795	-0.38314342940726803	-0.11257633481952868	-0.487644948201204	-0.2681615995874449	-0.38780808686692375	1.3749166294524164	1.224331163002234	-0.09490390955103498	-0.012380066748354868	0.6141424117727214	0.32729976212224104
